"awb_master","lacre","awb","nota_fiscal","pedido","cidade","status_completo","status_atual"
"20459767","SOD1004157641","TXAS719609109tx","10917","3042067715729950401","Piedade","RECEBIDO CD DE: - SOD ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20461585","SOD1004164781","TXAS719886475tx","169","169","São Roque","EM ROTA (CAF: 20085496) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20458710","sod1004157621","TXAS720263235tx","9941","3042295701601814465","Sorocaba","RECEBIDO CD DE: - SOD ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20459914","SOD1004157731","TXAS720782291tx","27256","BR255157399559W","Araçariguama","RECEBIDO CD DE: - SOD ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20457979","SOD1004164771","TXAS721683662tx","198421","9527864","Sorocaba","PROCESSO DE ENTREGA","NA RUA"
"20457355","SOD1269854","TXAS722419702tx","263402","251376729","Sorocaba","RECEBIDO CD DE: - SOD ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20457355","SOD1269854","TXAS722598976tx","15152","BR255249896470D","Araçariguama","RECEBIDO CD DE: - SOD ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20456217","SOD1004135951","MAIL100818251TX","37121","175855358028800001","Araçoiaba Da Serra","RECEBIDO CD DE: - SOD ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20459342","SOD1004135961","TXAS723304002tx","10986","5810","Sorocaba","PROCESSO DE ENTREGA","NA RUA"
"20466088","SOD1004183041","TXAS724819198tx","45279","3044820375113270386","Sorocaba","RECEBIDO CD DE: - SOD ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20460556","SOD1004164791","TXAS724865498tx","13516830","80255502","São Roque","RECEBIDO CD DE: - SOD ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20459829","SOD1004157651","TXAS724918685tx","14072","LI11014886","Araçariguama","RECEBIDO CD DE: - SOD ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20466088","SOD1004183041","AMZB770380652tx","2328","BrynPgLt0","Sorocaba","EM ROTA (CAF: 20097809) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20462731","SOD1004135971","TXAS726472947tx","356801","VN956767","Votorantim","RECEBIDO CD DE: - SOD ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20456217","SOD1004135951","AMZB770426936tx","81510","BjBFvylV0","Sorocaba","EM ROTA (CAF: 20097268) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20456217","SOD1004135951","TXAS726686199tx","757643","WEB-1480144780","Sorocaba","RECEBIDO CD DE: - SOD ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20460701","SOD906034","TXAS727035735tx","81905","819050","Sorocaba","EM ROTA (CAF: 20097809) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20457579","SOD1004157601","TXAS727049462tx","8252","3045589276840462270","Votorantim","EM ROTA (CAF: 20097268) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20457979","SOD1004164771","TXAS727083313tx","1881818","VU1815798","Sorocaba","RECEBIDO CD DE: - SOD VITORIA RIBEIRO","NA BASE"
"20457355","SOD1269854","TXAS727879710tx","2527","2527","Sorocaba","PROCESSO DE ENTREGA","NA RUA"
"20459767","SOD1004157641","TXAS727930836tx","23478","23478","Sorocaba","EM ROTA (CAF: 20098015) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20460701","SOD906034","TXAS727982084tx","225621","2256212","Sorocaba","EM ROTA (CAF: 20097719) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
